variable.fragment,variable
F1,Fo
F2,Fo
F3,Fo
F4,Fo
F5,Fo
F6,Fo
F7,Fo
F8,Fo
F9,Fo
F10,Fo
F11,Fo
F12,Fo
F13,Fo
F14,Fo
F15,Fo
F16,Fo
F17,Fo
F18,Fo
F19,Fo
F20,Fo
Fm.1,Fm
Fm.2,Fm
Fm.3,Fm
Fm.4,Fm
Fm.5,Fm
Fm.6,Fm
Fm.7,Fm
Fm.8,Fm
Fm.9,Fm
Fm.10,Fm
Fm.11,Fm
Fm.12,Fm
Fm.13,Fm
Fm.14,Fm
Fm.15,Fm
Fm.16,Fm
Fm.17,Fm
Fm.18,Fm
Fm.19,Fm
Fm.20,Fm
Y.II.1,Y.II.
Y.II.2,Y.II.
Y.II.3,Y.II.
Y.II.4,Y.II.
Y.II.5,Y.II.
Y.II.6,Y.II.
Y.II.7,Y.II.
Y.II.8,Y.II.
Y.II.9,Y.II.
Y.II.10,Y.II.
Y.II.11,Y.II.
Y.II.12,Y.II.
Y.II.13,Y.II.
Y.II.14,Y.II.
Y.II.15,Y.II.
Y.II.16,Y.II.
Y.II.17,Y.II.
Y.II.18,Y.II.
Y.II.19,Y.II.
Y.II.20,Y.II.
Y.II.21,Y.II.
