"","Date","Temperature","Tank","Fragment","YII"
"298","2017-09-27","29",3,"22",0.51
"299","2017-09-27","29",3,"32",0.544
"300","2017-09-27","29",3,"33",0.56
"301","2017-09-27","29",3,"39",0.568
"302","2017-09-27","29",3,"48",0.542
"303","2017-09-27","29",3,"52",0.59
"304","2017-09-27","29",3,"53",0.551
"305","2017-09-27","29",3,"54",0.604
"306","2017-09-27","29",3,"70",0.593
"307","2017-09-27","29",3,"75",0.564
"308","2017-09-27","29",3,"80",0.573
"309","2017-09-27","29",3,"81",0.527
"310","2017-09-27","29",3,"89",0.505
"311","2017-09-27","29",3,"93",0.547
"312","2017-09-27","29",3,"95",0.552
"313","2017-09-27","29",3,"212",0.525
"314","2017-09-27","29",3,"213",0.579
"315","2017-09-27","29",3,"295",0.513
