"","Date","Treatment","Tank","Fragment","Picture","value.Fo","value.Fm","value.YII"
"1","2017-09-27","26",1,"9",1,"0.1569","0.3828","0.59"
"2","2017-09-27","26",1,"13",1,"0.1814","0.3966","0.543"
"3","2017-09-27","26",1,"16",1,"0.199","0.475","0.581"
"4","2017-09-27","26",1,"17",1,"0.174","0.3946","0.559"
"5","2017-09-27","26",1,"36",2,"0.1819","0.3431","0.47"
"6","2017-09-27","26",1,"42",2,"0.1392","0.3275","0.575"
"7","2017-09-27","26",1,"44",2,"0.1392","0.3309","0.579"
"8","2017-09-27","26",1,"50",2,"0.1593","0.3225","0.506"
"9","2017-09-27","26",1,"51",3,"0.1608","0.3221","0.501"
"10","2017-09-27","26",1,"55",3,"0.1441","0.3147","0.542"
"11","2017-09-27","26",1,"56",3,"0.1936","0.3569","0.457"
"12","2017-09-27","26",1,"61",3,"0.1853","0.3377","0.451"
"13","2017-09-27","26",1,"64",4,"0.1632","0.3397","0.519"
"14","2017-09-27","26",1,"67",4,"0.1417","0.3132","0.548"
"15","2017-09-27","26",1,"76",4,"0.149","0.3118","0.522"
"16","2017-09-27","26",1,"77",4,"0.1765","0.348","0.493"
"17","2017-09-27","26",1,"94",5,"0.1897","0.4015","0.527"
"18","2017-09-27","26",1,"127",5,"0.1824","0.4549","0.599"
"19","2017-09-27","26",1,"201",5,"0.1554","0.3328","0.533"
"20","2017-09-27","26",1,"202",5,"0.1843","0.4147","0.556"
"21","2017-09-27","26",1,"298",5,"0.1608","0.3784","0.575"
"22","2017-09-27","27",2,"11",6,"0.1461","0.374","0.609"
"23","2017-09-27","27",2,"12",6,"0.1534","0.3838","0.6"
"24","2017-09-27","27",2,"28",6,"0.1902","0.4186","0.546"
"25","2017-09-27","27",2,"29",6,"0.1833","0.4025","0.544"
"26","2017-09-27","27",2,"30",7,"0.1647","0.3706","0.556"
"27","2017-09-27","27",2,"40",7,"0.1431","0.3181","0.55"
"28","2017-09-27","27",2,"57",7,"0.1887","0.3804","0.504"
"29","2017-09-27","27",2,"58",7,"0.1721","0.3809","0.548"
"30","2017-09-27","27",2,"59",8,"0.1456","0.3176","0.542"
"31","2017-09-27","27",2,"60",8,"0.1603","0.4088","0.608"
"32","2017-09-27","27",2,"73",8,"0.1623","0.3711","0.563"
"33","2017-09-27","27",2,"78",8,"0.1441","0.3191","0.548"
"34","2017-09-27","27",2,"79",9,"0.1858","0.4578","0.594"
"35","2017-09-27","27",2,"82",9,"0.1627","0.3475","0.532"
"36","2017-09-27","27",2,"83",9,"0.1833","0.4672","0.608"
"37","2017-09-27","27",2,"84",9,"0.1559","0.4142","0.624"
"38","2017-09-27","27",2,"88",10,"0.1529","0.3667","0.583"
"39","2017-09-27","27",2,"90",10,"0.1868","0.402","0.535"
"40","2017-09-27","27",2,"92",10,"0.1417","0.3461","0.591"
"41","2017-09-27","27",2,"96",10,"0.1422","0.3578","0.603"
"42","2017-09-27","27",2,"205",11,"0.1951","0.4005","0.513"
"43","2017-09-27","27",2,"207",11,"0.1701","0.3951","0.569"
"44","2017-09-27","27",2,"297",11,"0.1534","0.3804","0.597"
"45","2017-09-27","28",4,"8b",12,"0.1593","0.3696","0.569"
"46","2017-09-27","28",4,"15b",12,"0.1544","0.3147","0.509"
"47","2017-09-27","28",4,"18b",12,"0.1853","0.3539","0.476"
"48","2017-09-27","28",4,"20b",12,"0.1975","0.3789","0.479"
"49","2017-09-27","28",4,"27b",13,"0.1824","0.3431","0.469"
"50","2017-09-27","28",4,"34b",13,"0.1892","0.3706","0.489"
"51","2017-09-27","28",4,"43b",13,"0.1569","0.3417","0.541"
"52","2017-09-27","28",4,"46b",13,"0.177","0.4137","0.572"
"53","2017-09-27","28",4,"49b",13,"0.173","0.3745","0.538"
"54","2017-09-27","28",4,"68b",14,"0.1578","0.326","0.516"
"55","2017-09-27","28",4,"71b",14,"0.1632","0.4093","0.601"
"56","2017-09-27","28",4,"85b",14,"0.1828","0.3407","0.463"
"57","2017-09-27","28",4,"91b",14,"0.152","0.3559","0.573"
"58","2017-09-27","28",4,"114b",15,"0.152","0.3549","0.572"
"59","2017-09-27","28",4,"125b",15,"0.1696","0.4059","0.582"
"60","2017-09-27","28",4,"126b",15,"0.1873","0.4225","0.557"
"61","2017-09-27","28",4,"129b",15,"0.1529","0.3721","0.589"
"62","2017-09-27","28",4,"196b",15,"0.1431","0.3554","0.597"
"63","2017-09-27","28b",4,"1c",16,"0.1652","0.3623","0.544"
"64","2017-09-27","28b",4,"2c",16,"0.1784","0.376","0.525"
"65","2017-09-27","28b",4,"10c",16,"0.1569","0.3642","0.569"
"66","2017-09-27","28b",4,"14c",16,"0.1804","0.3667","0.508"
"67","2017-09-27","28b",4,"23c",17,"0.1466","0.3123","0.531"
"68","2017-09-27","28b",4,"24c",17,"0.1534","0.351","0.563"
"69","2017-09-27","28b",4,"25c",17,"0.1721","0.3662","0.53"
"70","2017-09-27","28b",4,"31c",17,"0.1608","0.3407","0.528"
"71","2017-09-27","28b",4,"35c",18,"0.1907","0.3887","0.509"
"72","2017-09-27","28b",4,"38c",18,"0.152","0.3338","0.545"
"73","2017-09-27","28b",4,"41c",18,"0.1417","0.3461","0.591"
"74","2017-09-27","28b",4,"45c",18,"0.1662","0.376","0.558"
"75","2017-09-27","28b",4,"62c",19,"0.1819","0.377","0.518"
"76","2017-09-27","28b",4,"63c",19,"0.1755","0.3632","0.517"
"77","2017-09-27","28b",4,"65c",19,"0.1676","0.4098","0.591"
"78","2017-09-27","28b",4,"66c",19,"0.1539","0.3652","0.579"
"79","2017-09-27","28b",4,"69c",20,"0.1588","0.3794","0.581"
"80","2017-09-27","28b",4,"72c",20,"0.2025","0.3735","0.458"
"81","2017-09-27","28b",4,"87c",20,"0.1451","0.3113","0.534"
