"","Time","Date","Colony","Core","Temp","CO2","YII"
"1",0,"2017-09-01",20,"20-34",26,"HCO2",0.547
"2",0,"2017-09-01",20,"20-52",26,"HCO2",0.479
"3",0,"2017-09-01",20,"20-61",26,"HCO2",0.531
"4",0,"2017-09-01",20,"20-71",26,"HCO2",0.468
"5",0,"2017-09-01",20,"20-82",26,"HCO2",0.51
"6",0,"2017-09-01",20,"20-91",26,"HCO2",0.505
"7",0,"2017-09-01",20,"20-101",26,"HCO2",0.514
"8",0,"2017-09-01",22,"22-20",26,"HCO2",0.488
"9",0,"2017-09-01",22,"22-47",26,"HCO2",0.507
"10",0,"2017-09-01",22,"22-55",26,"HCO2",0.496
"11",0,"2017-09-01",22,"22-65",26,"HCO2",0.498
"12",0,"2017-09-01",23,"23-15",26,"HCO2",0.474
"13",0,"2017-09-01",23,"23-25",26,"HCO2",0.479
"14",0,"2017-09-01",23,"23-44",26,"HCO2",0.471
"15",0,"2017-09-01",23,"23-69",26,"HCO2",0.46
"16",0,"2017-09-01",24,"24-30",26,"HCO2",0.5
"17",0,"2017-09-01",24,"24-38",26,"HCO2",0.505
"18",0,"2017-09-01",24,"24-46",26,"HCO2",0.511
"19",0,"2017-09-01",27,"27-7",26,"HCO2",0.497
"20",0,"2017-09-01",27,"27-23",26,"HCO2",0.463
"21",0,"2017-09-01",27,"27-65",26,"HCO2",0.491
"22",0,"2017-09-01",27,"27-96",26,"HCO2",0.468
"23",0,"2017-09-01",30,"30-36",26,"HCO2",0.535
"24",0,"2017-09-01",30,"30-45",26,"HCO2",0.536
"25",0,"2017-09-01",30,"30-59",26,"HCO2",0.533
"26",0,"2017-09-01",20,"20-47",26,"LCO2",0.546
"27",0,"2017-09-01",20,"20-57",26,"LCO2",0.539
"28",0,"2017-09-01",20,"20-66",26,"LCO2",0.477
"29",0,"2017-09-01",20,"20-76",26,"LCO2",0.519
"30",0,"2017-09-01",20,"20-87",26,"LCO2",0.445
"31",0,"2017-09-01",20,"20-95",26,"LCO2",0.424
"32",0,"2017-09-01",22,"22-5",26,"LCO2",0.51
"33",0,"2017-09-01",22,"22-43",26,"LCO2",0.499
"34",0,"2017-09-01",22,"22-60",26,"LCO2",0.472
"35",0,"2017-09-01",23,"23-10",26,"LCO2",0.498
"36",0,"2017-09-01",23,"23-20",26,"LCO2",0.452
"37",0,"2017-09-01",23,"23-32",26,"LCO2",0.47
"38",0,"2017-09-01",23,"23-40",26,"LCO2",0.462
"39",0,"2017-09-01",23,"23-48",26,"LCO2",0.477
"40",0,"2017-09-01",24,"24-4",26,"LCO2",0.505
"41",0,"2017-09-01",24,"24-34",26,"LCO2",0.494
"42",0,"2017-09-01",24,"24-42",26,"LCO2",0.487
"43",0,"2017-09-01",24,"24-50",26,"LCO2",0.501
"44",0,"2017-09-01",27,"27-15",26,"LCO2",0.429
"45",0,"2017-09-01",27,"27-39",26,"LCO2",0.484
"46",0,"2017-09-01",27,"27-82",26,"LCO2",0.507
"47",0,"2017-09-01",30,"30-32",26,"LCO2",0.546
"48",0,"2017-09-01",30,"30-41",26,"LCO2",0.533
"49",0,"2017-09-01",30,"30-50",26,"LCO2",0.535
"50",0,"2017-09-01",20,"20-35",27,"HCO2",0.516
"51",0,"2017-09-01",20,"20-53",27,"HCO2",0.526
"52",0,"2017-09-01",20,"20-62",27,"HCO2",0.498
"53",0,"2017-09-01",20,"20-72",27,"HCO2",0.534
"54",0,"2017-09-01",20,"20-84",27,"HCO2",0.52
"55",0,"2017-09-01",20,"20-92",27,"HCO2",0.455
"56",0,"2017-09-01",20,"20-102",27,"HCO2",0.503
"57",0,"2017-09-01",22,"22-22",27,"HCO2",0.488
"58",0,"2017-09-01",22,"22-48",27,"HCO2",0.489
"59",0,"2017-09-01",22,"22-56",27,"HCO2",0.502
"60",0,"2017-09-01",23,"23-1",27,"HCO2",0.492
"61",0,"2017-09-01",23,"23-16",27,"HCO2",0.474
"62",0,"2017-09-01",23,"23-26",27,"HCO2",0.464
"63",0,"2017-09-01",23,"23-37",27,"HCO2",0.487
"64",0,"2017-09-01",23,"23-45",27,"HCO2",0.461
"65",0,"2017-09-01",24,"24-31",27,"HCO2",0.494
"66",0,"2017-09-01",24,"24-39",27,"HCO2",0.495
"67",0,"2017-09-01",24,"24-47",27,"HCO2",0.493
"68",0,"2017-09-01",27,"27-10",27,"HCO2",0.445
"69",0,"2017-09-01",27,"27-25",27,"HCO2",0.449
"70",0,"2017-09-01",27,"27-70",27,"HCO2",0.492
"71",0,"2017-09-01",30,"30-29",27,"HCO2",0.545
"72",0,"2017-09-01",30,"30-37",27,"HCO2",0.535
"73",0,"2017-09-01",30,"30-46",27,"HCO2",0.532
"74",0,"2017-09-01",30,"30-61",27,"HCO2",0.536
"75",0,"2017-09-01",20,"20-49",27,"LCO2",0.533
"76",0,"2017-09-01",20,"20-58",27,"LCO2",0.451
"77",0,"2017-09-01",20,"20-67",27,"LCO2",0.465
"78",0,"2017-09-01",20,"20-77",27,"LCO2",0.45
"79",0,"2017-09-01",20,"20-88",27,"LCO2",0.468
"80",0,"2017-09-01",20,"20-96",27,"LCO2",0.508
"81",0,"2017-09-01",22,"22-13",27,"LCO2",0.476
"82",0,"2017-09-01",22,"22-44",27,"LCO2",0.487
"83",0,"2017-09-01",22,"22-52",27,"LCO2",0.516
"84",0,"2017-09-01",22,"22-61",27,"LCO2",0.488
"85",0,"2017-09-01",23,"23-11",27,"LCO2",0.455
"86",0,"2017-09-01",23,"23-33",27,"LCO2",0.493
"87",0,"2017-09-01",23,"23-41",27,"LCO2",0.458
"88",0,"2017-09-01",23,"23-49",27,"LCO2",0.465
"89",0,"2017-09-01",23,"23-77",27,"LCO2",0.466
"90",0,"2017-09-01",24,"24-13",27,"LCO2",0.502
"91",0,"2017-09-01",24,"24-35",27,"LCO2",0.498
"92",0,"2017-09-01",24,"24-43",27,"LCO2",0.497
"93",0,"2017-09-01",24,"24-51",27,"LCO2",0.486
"94",0,"2017-09-01",27,"27-16",27,"LCO2",0.458
"95",0,"2017-09-01",27,"27-40",27,"LCO2",0.506
"96",0,"2017-09-01",27,"27-88",27,"LCO2",0.466
"97",0,"2017-09-01",30,"30-33",27,"LCO2",0.529
"98",0,"2017-09-01",30,"30-42",27,"LCO2",0.531
"99",0,"2017-09-01",30,"30-52",27,"LCO2",0.527
"100",0,"2017-09-01",20,"20-40",28,"HCO2",0.525
"101",0,"2017-09-01",20,"20-54",28,"HCO2",0.498
"102",0,"2017-09-01",20,"20-63",28,"HCO2",0.456
"103",0,"2017-09-01",20,"20-73",28,"HCO2",0.447
"104",0,"2017-09-01",20,"20-85",28,"HCO2",0.49
"105",0,"2017-09-01",20,"20-93",28,"HCO2",0.443
"106",0,"2017-09-01",20,"20-105",28,"HCO2",0.44
"107",0,"2017-09-01",22,"22-19",28,"HCO2",0.501
"108",0,"2017-09-01",22,"22-49",28,"HCO2",0.49
"109",0,"2017-09-01",22,"22-57",28,"HCO2",0.484
"110",0,"2017-09-01",23,"23-2",28,"HCO2",0.502
"111",0,"2017-09-01",23,"23-17",28,"HCO2",0.488
"112",0,"2017-09-01",23,"23-29",28,"HCO2",0.491
"113",0,"2017-09-01",23,"23-38",28,"HCO2",0.493
"114",0,"2017-09-01",23,"23-46",28,"HCO2",0.49
"115",0,"2017-09-01",24,"24-32",28,"HCO2",0.502
"116",0,"2017-09-01",24,"24-40",28,"HCO2",0.511
"117",0,"2017-09-01",24,"24-48",28,"HCO2",0.494
"118",0,"2017-09-01",27,"27-13",28,"HCO2",0.483
"119",0,"2017-09-01",27,"27-29",28,"HCO2",0.431
"120",0,"2017-09-01",27,"27-71",28,"HCO2",0.486
"121",0,"2017-09-01",30,"30-30",28,"HCO2",0.527
"122",0,"2017-09-01",30,"30-39",28,"HCO2",0.532
"123",0,"2017-09-01",30,"30-47",28,"HCO2",0.532
"124",0,"2017-09-01",30,"30-64",28,"HCO2",0.524
"125",0,"2017-09-01",20,"20-50",28,"LCO2",0.539
"126",0,"2017-09-01",20,"20-59",28,"LCO2",0.532
"127",0,"2017-09-01",20,"20-68",28,"LCO2",0.499
"128",0,"2017-09-01",20,"20-79",28,"LCO2",0.48
"129",0,"2017-09-01",20,"20-89",28,"LCO2",0.489
"130",0,"2017-09-01",20,"20-97",28,"LCO2",0.502
"131",0,"2017-09-01",22,"22-45",28,"LCO2",0.508
"132",0,"2017-09-01",22,"22-53",28,"LCO2",0.515
"133",0,"2017-09-01",22,"22-62",28,"LCO2",0.486
"134",0,"2017-09-01",23,"23-13",28,"LCO2",0.485
"135",0,"2017-09-01",23,"23-22",28,"LCO2",0.481
"136",0,"2017-09-01",23,"23-34",28,"LCO2",0.493
"137",0,"2017-09-01",23,"23-42",28,"LCO2",0.478
"138",0,"2017-09-01",23,"23-52",28,"LCO2",0.484
"139",0,"2017-09-01",24,"24-20",28,"LCO2",0.503
"140",0,"2017-09-01",24,"24-36",28,"LCO2",0.504
"141",0,"2017-09-01",24,"24-44",28,"LCO2",0.486
"142",0,"2017-09-01",24,"24-52",28,"LCO2",0.505
"143",0,"2017-09-01",27,"27-20",28,"LCO2",0.473
"144",0,"2017-09-01",27,"27-56",28,"LCO2",0.479
"145",0,"2017-09-01",27,"27-91",28,"LCO2",0.484
"146",0,"2017-09-01",30,"30-34",28,"LCO2",0.532
"147",0,"2017-09-01",30,"30-43",28,"LCO2",0.517
"148",0,"2017-09-01",30,"30-53",28,"LCO2",0.526
"149",0,"2017-09-01",20,"20-42",29,"HCO2",0.51
"150",0,"2017-09-01",20,"20-56",29,"HCO2",0.48
"151",0,"2017-09-01",20,"20-64",29,"HCO2",0.52
"152",0,"2017-09-01",20,"20-74",29,"HCO2",0.527
"153",0,"2017-09-01",20,"20-86",29,"HCO2",0.52
"154",0,"2017-09-01",20,"20-94",29,"HCO2",0.486
"155",0,"2017-09-01",20,"20-106",29,"HCO2",0.492
"156",0,"2017-09-01",22,"22-37",29,"HCO2",0.5
"157",0,"2017-09-01",22,"22-50",29,"HCO2",0.49
"158",0,"2017-09-01",22,"22-58",29,"HCO2",0.514
"159",0,"2017-09-01",23,"23-6",29,"HCO2",0.477
"160",0,"2017-09-01",23,"23-18",29,"HCO2",0.457
"161",0,"2017-09-01",23,"23-31",29,"HCO2",0.484
