"","Core","X.0","Date.0","Colony.0","Temp.0","CO2.0","YII.0","X.1","Date.1","Colony.1","Temp.1","CO2.1","YII.1"
"1","20-34",1,"2017-09-01",20,26,"HCO2",0.547,198,"2017-10-03",20,26,"HCO2",0.5
"2","20-52",2,"2017-09-01",20,26,"HCO2",0.479,199,"2017-10-03",20,26,"HCO2",0.456
"3","20-61",3,"2017-09-01",20,26,"HCO2",0.531,200,"2017-10-03",20,26,"HCO2",0.514
"4","20-71",4,"2017-09-01",20,26,"HCO2",0.468,201,"2017-10-03",20,26,"HCO2",0.417
"5","20-82",5,"2017-09-01",20,26,"HCO2",0.51,202,"2017-10-03",20,26,"HCO2",0.47
"6","20-91",6,"2017-09-01",20,26,"HCO2",0.505,203,"2017-10-03",20,26,"HCO2",0.5
"7","20-101",7,"2017-09-01",20,26,"HCO2",0.514,204,"2017-10-03",20,26,"HCO2",0.5
"8","22-20",8,"2017-09-01",22,26,"HCO2",0.488,205,"2017-10-03",22,26,"HCO2",0.41
"9","22-47",9,"2017-09-01",22,26,"HCO2",0.507,206,"2017-10-03",22,26,"HCO2",0.424
"10","22-55",10,"2017-09-01",22,26,"HCO2",0.496,207,"2017-10-03",22,26,"HCO2",0.426
"11","22-65",11,"2017-09-01",22,26,"HCO2",0.498,208,"2017-10-03",22,26,"HCO2",0.423
"12","23-15",12,"2017-09-01",23,26,"HCO2",0.474,209,"2017-10-03",23,26,"HCO2",0.39
"13","23-25",13,"2017-09-01",23,26,"HCO2",0.479,210,"2017-10-03",23,26,"HCO2",0.418
"14","23-44",14,"2017-09-01",23,26,"HCO2",0.471,211,"2017-10-03",23,26,"HCO2",0.409
"15","23-69",15,"2017-09-01",23,26,"HCO2",0.46,212,"2017-10-03",23,26,"HCO2",0.397
"16","24-30",16,"2017-09-01",24,26,"HCO2",0.5,213,"2017-10-03",24,26,"HCO2",0.417
"17","24-38",17,"2017-09-01",24,26,"HCO2",0.505,214,"2017-10-03",24,26,"HCO2",0.423
"18","24-46",18,"2017-09-01",24,26,"HCO2",0.511,215,"2017-10-03",24,26,"HCO2",0.437
"19","27-7",19,"2017-09-01",27,26,"HCO2",0.497,216,"2017-10-03",27,26,"HCO2",0.418
"20","27-23",20,"2017-09-01",27,26,"HCO2",0.463,217,"2017-10-03",27,26,"HCO2",0.407
"21","27-65",21,"2017-09-01",27,26,"HCO2",0.491,218,"2017-10-03",27,26,"HCO2",0.414
"22","27-96",22,"2017-09-01",27,26,"HCO2",0.468,219,"2017-10-03",27,26,"HCO2",0.425
"23","30-36",23,"2017-09-01",30,26,"HCO2",0.535,220,"2017-10-03",30,26,"HCO2",0.478
"24","30-45",24,"2017-09-01",30,26,"HCO2",0.536,221,"2017-10-03",30,26,"HCO2",0.485
"25","30-59",25,"2017-09-01",30,26,"HCO2",0.533,222,"2017-10-03",30,26,"HCO2",0.473
"26","20-47",26,"2017-09-01",20,26,"LCO2",0.546,223,"2017-10-03",20,26,"LCO2",0.484
"27","20-57",27,"2017-09-01",20,26,"LCO2",0.539,224,"2017-10-03",20,26,"LCO2",0.491
"28","20-66",28,"2017-09-01",20,26,"LCO2",0.477,225,"2017-10-03",20,26,"LCO2",0.458
"29","20-76",29,"2017-09-01",20,26,"LCO2",0.519,226,"2017-10-03",20,26,"LCO2",0.519
"30","20-87",30,"2017-09-01",20,26,"LCO2",0.445,227,"2017-10-03",20,26,"LCO2",0.414
"31","20-95",31,"2017-09-01",20,26,"LCO2",0.424,228,"2017-10-03",20,26,"LCO2",0.427
"32","22-5",32,"2017-09-01",22,26,"LCO2",0.51,229,"2017-10-03",22,26,"LCO2",0.433
"33","22-43",33,"2017-09-01",22,26,"LCO2",0.499,230,"2017-10-03",22,26,"LCO2",0.41
"34","22-60",34,"2017-09-01",22,26,"LCO2",0.472,231,"2017-10-03",22,26,"LCO2",0.412
"35","23-10",35,"2017-09-01",23,26,"LCO2",0.498,232,"2017-10-03",23,26,"LCO2",0.389
"36","23-20",36,"2017-09-01",23,26,"LCO2",0.452,233,"2017-10-03",23,26,"LCO2",0.391
"37","23-32",37,"2017-09-01",23,26,"LCO2",0.47,234,"2017-10-03",23,26,"LCO2",0.401
"38","23-40",38,"2017-09-01",23,26,"LCO2",0.462,235,"2017-10-03",23,26,"LCO2",0.365
"39","23-48",39,"2017-09-01",23,26,"LCO2",0.477,236,"2017-10-03",23,26,"LCO2",0.409
"40","24-4",40,"2017-09-01",24,26,"LCO2",0.505,237,"2017-10-03",24,26,"LCO2",0.455
"41","24-34",41,"2017-09-01",24,26,"LCO2",0.494,238,"2017-10-03",24,26,"LCO2",0.414
"42","24-42",42,"2017-09-01",24,26,"LCO2",0.487,239,"2017-10-03",24,26,"LCO2",0.416
"43","24-50",43,"2017-09-01",24,26,"LCO2",0.501,240,"2017-10-03",24,26,"LCO2",0.427
"44","27-15",44,"2017-09-01",27,26,"LCO2",0.429,241,"2017-10-03",27,26,"LCO2",0.4
"45","27-39",45,"2017-09-01",27,26,"LCO2",0.484,242,"2017-10-03",27,26,"LCO2",0.4
"46","27-82",46,"2017-09-01",27,26,"LCO2",0.507,243,"2017-10-03",27,26,"LCO2",0.425
"47","30-32",47,"2017-09-01",30,26,"LCO2",0.546,244,"2017-10-03",30,26,"LCO2",0.474
"48","30-41",48,"2017-09-01",30,26,"LCO2",0.533,245,"2017-10-03",30,26,"LCO2",0.465
"49","30-50",49,"2017-09-01",30,26,"LCO2",0.535,246,"2017-10-03",30,26,"LCO2",0.463
"50","20-35",50,"2017-09-01",20,27,"HCO2",0.516,247,"2017-10-03",20,27,"HCO2",0.477
"51","20-53",51,"2017-09-01",20,27,"HCO2",0.526,248,"2017-10-03",20,27,"HCO2",0.505
"52","20-62",52,"2017-09-01",20,27,"HCO2",0.498,249,"2017-10-03",20,27,"HCO2",0.451
"53","20-72",53,"2017-09-01",20,27,"HCO2",0.534,250,"2017-10-03",20,27,"HCO2",0.522
"54","20-84",54,"2017-09-01",20,27,"HCO2",0.52,251,"2017-10-03",20,27,"HCO2",0.502
"55","20-92",55,"2017-09-01",20,27,"HCO2",0.455,252,"2017-10-03",20,27,"HCO2",0.441
"56","20-102",56,"2017-09-01",20,27,"HCO2",0.503,253,"2017-10-03",20,27,"HCO2",0.497
"57","22-22",57,"2017-09-01",22,27,"HCO2",0.488,254,"2017-10-03",22,27,"HCO2",0.418
"58","22-48",58,"2017-09-01",22,27,"HCO2",0.489,255,"2017-10-03",22,27,"HCO2",0.432
"59","22-56",59,"2017-09-01",22,27,"HCO2",0.502,256,"2017-10-03",22,27,"HCO2",0.45
"60","23-1",60,"2017-09-01",23,27,"HCO2",0.492,257,"2017-10-03",23,27,"HCO2",0.399
"61","23-16",61,"2017-09-01",23,27,"HCO2",0.474,258,"2017-10-03",23,27,"HCO2",0.405
"62","23-26",62,"2017-09-01",23,27,"HCO2",0.464,259,"2017-10-03",23,27,"HCO2",0.403
"63","23-37",63,"2017-09-01",23,27,"HCO2",0.487,260,"2017-10-03",23,27,"HCO2",0.396
"64","23-45",64,"2017-09-01",23,27,"HCO2",0.461,261,"2017-10-03",23,27,"HCO2",0.412
"65","24-31",65,"2017-09-01",24,27,"HCO2",0.494,262,"2017-10-03",24,27,"HCO2",0.424
"66","24-39",66,"2017-09-01",24,27,"HCO2",0.495,263,"2017-10-03",24,27,"HCO2",0.391
"67","24-47",67,"2017-09-01",24,27,"HCO2",0.493,264,"2017-10-03",24,27,"HCO2",0.443
"68","27-10",68,"2017-09-01",27,27,"HCO2",0.445,265,"2017-10-03",27,27,"HCO2",0.368
"69","27-25",69,"2017-09-01",27,27,"HCO2",0.449,266,"2017-10-03",27,27,"HCO2",0.369
"70","27-70",70,"2017-09-01",27,27,"HCO2",0.492,267,"2017-10-03",27,27,"HCO2",0.431
"71","30-29",71,"2017-09-01",30,27,"HCO2",0.545,268,"2017-10-03",30,27,"HCO2",0.481
"72","30-37",72,"2017-09-01",30,27,"HCO2",0.535,269,"2017-10-03",30,27,"HCO2",0.482
"73","30-46",73,"2017-09-01",30,27,"HCO2",0.532,270,"2017-10-03",30,27,"HCO2",0.464
"74","30-61",74,"2017-09-01",30,27,"HCO2",0.536,271,"2017-10-03",30,27,"HCO2",0.462
"75","20-49",75,"2017-09-01",20,27,"LCO2",0.533,272,"2017-10-03",20,27,"LCO2",0.488
"76","20-58",76,"2017-09-01",20,27,"LCO2",0.451,273,"2017-10-03",20,27,"LCO2",0.43
"77","20-67",77,"2017-09-01",20,27,"LCO2",0.465,274,"2017-10-03",20,27,"LCO2",0.455
"78","20-77",78,"2017-09-01",20,27,"LCO2",0.45,275,"2017-10-03",20,27,"LCO2",0.435
"79","20-88",79,"2017-09-01",20,27,"LCO2",0.468,276,"2017-10-03",20,27,"LCO2",0.452
"80","20-96",80,"2017-09-01",20,27,"LCO2",0.508,277,"2017-10-03",20,27,"LCO2",0.475
